Medaillenspiegel Olympische Spiele Rio 2016 (nach allen 306 Bewerben)
Rang;Land;Gold;Silber;Bronze
1;USA;46;37;38
2;Vereinigtes Königreich Großbritannien;27;23;17
3;Volksrepublik China;26;18;26
4;Russland ;19;17;19
5;Deutschland ;17;10;15
6;Japan ;12;8;21
7;Frankreich ;10;18;14
8;Südkorea ;9;3;9
9;Italien ;8;12;8
10;Australien ;8;11;10
11;Niederlande ;8;7;4
12;Ungarn ;8;3;4
13;Brasilien ;7;6;6
14;Spanien ;7;4;6
15;Kenia ;6;6;1
16;Jamaika ;6;3;2
17;Kroatien ;5;3;2
18;Kuba ;5;2;4
19;Neuseeland ;4;9;5
20;Kanada ;4;3;15
21;Usbekistan ;4;2;7
22;Kasachstan ;3;5;9
23;Kolumbien ;3;2;3
24;Schweiz ;3;2;2
25;Iran ;3;1;4
26;Griechenland ;3;1;2
27;Argentinien ;3;1;0
28;Dänemark ;2;6;7
29;Schweden ;2;6;3
30;Südafrika ;2;6;2
31;Ukraine ;2;5;4
32;Serbien ;2;4;2
33;Polen ;2;3;6
34;Nordkorea ;2;3;2
35;Belgien ;2;2;2
35;Thailand ;2;2;2
37;Slowakei ;2;2;0
38;Georgien ;2;1;4
39;Aserbaidschan ;1;7;10
40;Weißrussland ;1;4;4
41;Türkei ;1;3;4
42;Armenien ;1;3;0
43;Tschechien ;1;2;7
44;Äthiopien ;1;2;5
45;Slowenien ;1;2;1
46;Indonesien ;1;2;0
47;Rumänien ;1;1;2
48;Bahrain ;1;1;0
48;Vietnam ;1;1;0
50;Chinese Taipei ;1;0;2
51;Bahamas ;1;0;1
51;Elfenbeinküste ;1;0;1
51;Unabhängige Olympiateilnehmer;1;0;1
54;Fidschi ;1;0;0
54;Jordanien ;1;0;0
54;Kosovo ;1;0;0
54;Puerto ;1;0;0
54;Singapur ;1;0;0
54;Tadschikistan ;1;0;0
60;Malaysia ;0;4;1
61;Mexiko ;0;3;2
62;Algerien ;0;2;0
62;Irland ;0;2;0
64;Litauen ;0;1;3
65;Bulgarien ;0;1;2
65;Venezuela ;0;1;2
67;Indien ;0;1;1
67;Mongolei ;0;1;1
69;Burundi ;0;1;0
69;Grenada ;0;1;0
69;Katar ;0;1;0
69;Niger ;0;1;0
69;Philippinen ;0;1;0
74;Norwegen ;0;0;4
75;Ägypten ;0;0;3
75;Tunesien ;0;0;3
77;Israel ;0;0;2
78;Dominikanische Republik ;0;0;1
78;Estland ;0;0;1
78;Finnland ;0;0;1
78;Marokko ;0;0;1
78;Moldawien ;0;0;1
78;Nigeria ;0;0;1
78;Österreich ;0;0;1
78;Portugal ;0;0;1
78;Trinidad und Tobago;0;0;1
78;Vereinigte Arabische Emirate;0;0;1
