Einnahmen $;Besucher US;Start;Budget (Mio $);Titel;Regie
317101119;44164501;22.05.2008;185;Indiana Jones und das Königreich der Kristallschädel;Steven Spielberg
474544677;90319245;19.05.1999;115;Star Wars: Episode I - Die dunkle Bedrohung;George Lucas
292324737;36724213;16.11.2012;120;Breaking Dawn - Biss zum Ende der Nacht Teil 2;Bill Condon
295983305;37513727;19.11.2010;250;Harry Potter und die Heiligtümer des Todes Teil 1;David Yates
290475067;96768416;21.05.1980;18;Das Imperium schlägt zurück;Irvin Kershner
352390543;44441952;29.06.2011;195;Transformers 3;Michael Bay
274092705;33713740;04.10.2013;110;Gravity;Alfonso Cuaron
441226247;71050925;19.05.2004;75;Shrek 2 - Der tollkühne Held kehrt zurück;Andrew Adamson, Kelly Asbury, Conrad Vernon
310676740;53472761;16.05.2002;120;Star Wars: Episode II - Angriff der Klonkrieger;George Lucas
291710957;45508730;09.12.2005;180;Die Chroniken von Narnia - Der König von Narnia;Andrew Adamson
370782930;59704842;25.02.2004;31;Die Passion Christi;Mel Gibson
292576195;37081901;16.11.2010;160;Inception;Christopher Nolan
255119788;31226412;17.12.2014;250;Der Hobbit - Die Schlacht der fünf Heere;Peter Jackson
267665011;47290638;16.05.2001;60;Shrek - Der tollkühne Held;Andrew Adamson, Vicky Jenson
408043896;51261796;23.03.2012;78;Die Tribute von Panem;Gary Ross
268492764;33024940;21.06.2013;200;Die Monster Uni;Dan Scanlon
380270577;59324583;19.05.2005;115;Star Wars: Episode III - Die Rache der Sith;George Lucas
261203402;50442928;19.11.1999;90;Toy Story 2;John Lasseter
261225440;124586170;20.06.1975;12;Der weiße Hai;Steven Spielberg
322719944;46906969;18.05.2007;160;Shrek der Dritte;Chris Miller
534858444;74472169;18.07.2008;185;The Dark Knight;Christopher Nolan
285761243;67715934;16.11.1990;15;Kevin - Allein zu Haus;Chris Columbus
293283811;39104508;29.05.2009;175;Oben;Pete Docter, Bob Peterson
380843261;61504346;30.05.2003;94;Findet Nemo;Andrew Stanton, Lee Unkrich
262083357;32925045;03.07.2012;230;The Amazing Spider-Man;Marc Webb
254464305;32088815;26.05.2011;80;Hangover 2;Todd Phillips
257760692;31549656;07.02.2014;60;The Lego Movie;Phil Lord, Chris Miller
350126372;42855125;25.12.2014;58;American Sniper;Clint Eastwood
256393010;37266426;14.12.2007;150;I Am Legend;Francis Lawrence
304360277;38236216;09.11.2012;200;Skyfall;Sam Mendes
337135885;41265102;21.11.2014;140;Die Tribute von Panem - Mockingjay Teil 1;Francis Lawrence
289916256;45207288;02.11.2001;115;Die Monster AG;Pete Docter, David Silverman, Lee Unkrich
303003568;38065775;14.12.2012;250;Der Hobbit - Eine unerwartete Reise;Peter Jackson
402195608;53626081;24.06.2009;200;Transformers - Die Rache;Michael Bay
333176600;40780490;01.08.2014;170;Guardians of the Galaxy;James Gunn
760507625;101308852;18.12.2009;237;Avatar - Aufbruch nach Pandora;James Cameron
448159219;56301409;20.07.2012;230;The Dark Knight Rises;Christopher Nolan
312445596;39600202;07.05.2010;170;Iron Man 2;Jon Favreau
623444910;78322225;04.05.2012;220;Avengers;Joss Whedon
255959475;34127930;20.11.2009;35;Blind Side - Die große Chance;John Lee Hancock
293506292;57776829;06.08.1999;55;The Sixth Sense;M. Night Shyamalan
319246193;46402063;02.07.2007;147;Transformers;Michael Bay
277334275;36977903;05.06.2009;35;Hangover;Todd Phillips
373585825;60158748;30.06.2004;200;Spider-Man 2;Sam Raimi
281723902;33419205;20.11.2015;160;Die Tribute von Panem - Mockingjay Teil 2;Francis Lawrence
422783777;89434585;15.06.1994;55;Der König der Löwen;Roger Allers, Rob Minkoff
330252182;78670202;06.07.1994;55;Forrest Gump;Robert Zemeckis
423315812;64628368;07.07.2006;225;Pirates of the Caribbean - Fluch der Karibik 2;Gore Verbinski
424668047;52234692;22.11.2013;130;Die Tribute von Panem - Catching Fire;Francis Lawrence
309420425;44973899;25.05.2007;225;Pirates of the Caribbean - Am Ende der Welt;Gore Verbinski
317575550;56108754;16.11.2001;130;Harry Potter und der Stein der Weisen;Chris Columbus
292004738;42442549;11.07.2007;150;Harry Potter und der Orden des Phönix;David Yates
658672302;138162547;19.12.1997;200;Titanic;James Cameron
297816253;39700974;20.11.2009;50;New Moon - Biss zur Mittagsstunde;Chris Weitz
652308704;77379443;12.06.2015;150;Jurassic World;Colin Trevorrow
936662225;111110584;18.12.2015;200;Star Wars - Das Erwachen der Macht;J.J. Abrams
356461711;42284900;19.06.2015;175;Alles steht Kopf;Pete Docter
309306177;93251232;25.05.1983;33;Die Rückkehr der Jedi-Ritter;Richard Marquand
342551365;58911205;18.12.2002;110;Der Herr der Ringe - Die zwei Türme;Peter Jackson
279261160;44969591;22.12.2004;80;Meine Frau, ihre Schwiegereltern und ich;Jay Roach
459029868;54451942;01.05.2015;250;Avengers - Age of Ultron;Joss Whedon
461038066;169289011;25.05.1977;11;Krieg der Sterne;George Lucas
306169268;69269065;03.07.1996;75;Independence Day;Roland Emmerich
301959197;40261226;15.07.2009;250;Harry Potter und der Halbblutprinz;David Yates
290013036;45243843;18.11.2005;200;Harry Potter und der Feuerkelch;Mike Newell
258366855;32746116;13.12.2013;250;Der Hobbit - Smaugs Einöde;Peter Jackson
435110554;139715449;11.06.1982;11;E.T. - Der Außerirdische;Steven Spielberg
261441092;42100015;05.11.2004;92;Die Unglaublichen;Brad Bird
368061265;45271988;03.07.2013;76;Ich - Einfach unverbesserlich 2;Pierre Coffin, Chris Renaud
407022860;70055570;03.05.2002;139;Spider-Man;Sam Raimi
259786645;31797631;04.04.2014;178;The Return of the First Avenger;Anthony Russo, Joe Russo
336045770;39863081;10.07.2015;74;Minions;Pierre Coffin, Kyle Balda
400738009;49291305;22.11.2013;150;Die Eiskönigin - Völlig unverfroren;Chris Buck, Jennifer Lee
281576461;46695931;15.05.2003;150;Matrix Reloaded;Andy Wachowski, Larry Wachowski
381011219;48046812;15.07.2011;250;Harry Potter und die Heiligtümer des Todes Teil 2;David Yates
291142307;35810862;14.06.2013;225;Man of Steel;Zack Snyder
260044825;48245793;17.11.2000;123;Der Grinch;Ron Howard
305413918;50649074;09.07.2003;125;Fluch der Karibik;Gore Verbinski
402453882;91830822;11.06.1993;63;Jurassic Park;Steven Spielberg
