cityname;latitude;longitude;population;countryname;iso3
25 de Mayo;-37.80003253;-67.68329533;17430;Argentina;ARG
28 de Noviembre;-51.65003986;-72.30001612;5300;Argentina;ARG
lesund;62.54541872;6.388023233;45377;Norway;NOR
rebro;59.2803467;15.2199906;95932;Sweden;SWE
rhus;56.157204;10.21068396;232325.5;Denmark;DNK
rnskldsvik;63.31800722;18.71667639;26406;Sweden;SWE
safjrur;66.08331647;-23.14996708;1949.5;Iceland;ISL
stersund;63.1833126;14.64999955;44559;Sweden;SWE
Aalborg;57.03371381;9.916593382;111917.5;Denmark;DNK
Aarau;47.3900041;8.03400361;15501;Switzerland;CHE
Aba;5.100397968;7.34998002;874385;Nigeria;NGA
Abadan;30.33074424;48.2796781;315129;Iran;IRN
Abadla;31.01708478;-2.733306317;14364;Algeria;DZA
Abaetetuba;-1.724530694;-48.88488014;78735;Brazil;BRA
Abai;-26.0295882;-55.94000696;2788.5;Paraguay;PRY
Abakan;53.70368451;91.44500199;161377;Russia;RUS
Abancay;-13.63959511;-72.89000594;53981;Peru;PER
Abau;-10.04260537;148.5650297;230;Papua New Guinea;PNG
Abaza;52.66901898;90.09536861;17638.5;Russia;RUS
Abbotsford;49.05037681;-122.2999874;151683;Canada;CAN
Abbottabad;34.1495034;73.19950069;1032323.5;Pakistan;PAK
Abeche;13.83999371;20.82998409;116252.5;Chad;TCD
Abengourou;6.730375996;-3.490004315;87809;Ivory Coast;CIV
Abeokuta;7.160427265;3.350017455;441231;Nigeria;NGA
Aberdeen;57.17039797;-2.079987021;186577;United Kingdom;GBR
Aberdeen;46.97489626;-123.8143911;24400;United States of America;USA
Aberdeen;45.46511761;-98.48640222;24854;United States of America;USA
Abha;18.2300875;42.50013424;207802.5;Saudi Arabia;SAU
Abidjan;5.319996967;-4.04004826;3496197.5;Ivory Coast;CIV
Abilene;32.4486253;-99.73278609;108008;United States of America;USA
Aboa Station;-75.04959349;-13.41671106;15;Antarctica;ATA
Abohar;30.12042116;74.29002844;130603;India;IND
Aboisso;5.466699052;-3.20000353;37654;Ivory Coast;CIV
Abomey;7.190399596;1.98999711;82154;Benin;BEN
Abong Mbang;3.983696105;13.18331905;7698;Cameroon;CMR
Abra Pampa;-22.7166638;-65.6999797;4480;Argentina;ARG
Abu Dhabi;24.46668357;54.36659338;581861;United Arab Emirates;ARE
Abu Kamal;34.45041526;40.9186287;69190;Syria;SYR
Abuja;9.083333149;7.533328002;869067.5;Nigeria;NGA
Abuna;-9.69539142;-65.35971623;1929;Brazil;BRA
Acapulco;16.84999086;-99.91597905;683860;Mexico;MEX
Acarau;-2.889605287;-40.11999068;21024.5;Brazil;BRA
Acarigua;9.580382913;-69.20002446;202312.5;Venezuela;VEN
Acatlan;18.19996014;-98.04999475;17585.5;Mexico;MEX
Accra;5.550034606;-0.21671574;2042132;Ghana;GHA
Achacachi;-16.08332192;-68.66656865;8447;Bolivia;BOL
Achinsk;56.26998781;90.49999508;112541.5;Russia;RUS
Acu;-5.57962197;-36.91005742;33303;Brazil;BRA
Ad Dakhla;23.71405588;-15.93681087;82146;Morocco;MAR
Ad Damazin;11.77040428;34.34998572;114030;Sudan;SDN
Ad Damman;26.42819175;50.09967037;1411656;Saudi Arabia;SAU
Ad Diwaniyah;31.9889376;44.92396562;338604.5;Iraq;IRQ
Ad Nabk;34.01703086;36.73330277;49775;Syria;SYR
Adana;36.99498863;35.32000403;1245445;Turkey;TUR
Adapazari;40.79997601;30.4150321;260109;Turkey;TUR
Addis Ababa;9.033310363;38.70000443;2928864.5;Ethiopia;ETH
Adelaide;-34.93498777;138.6000048;990677;Australia;AUS
Adelaide River;-13.2495414;131.0999975;237;Australia;AUS
Aden;12.77972251;45.00949011;775301;Yemen;YEM
Adigrat;14.28043194;39.46998328;104021;Ethiopia;ETH
Adiyaman;37.77039349;38.27992672;195497;Turkey;TUR
Adjumani;3.3613889;31.8097222;34700;Uganda;UGA
Ado Ekiti;7.630372741;5.219980834;446749;Nigeria;NGA
Adrar;27.86999005;-0.289967083;56910;Algeria;DZA
Afyon;38.75038535;30.55001094;151564;Turkey;TUR
Agadez;16.99587343;7.98280961;103165.5;Niger;NER
Agadir;30.43998822;-9.620043581;752031.5;Morocco;MAR
Agana;13.4700163;144.750017;61755.5;Guam;GUM
Agapa;71.45037905;89.24999385;10;Russia;RUS
Agartala;23.83540428;91.27999914;203264;India;IND
Agboville;5.940346699;-4.280033611;73027.5;Ivory Coast;CIV
Agdam;40.9052778;45.5563889;0;Azerbaijan;AZE
Agen;44.20041445;0.633335733;46295;France;FRA
Aginskoye;51.10306805;114.5228182;11491;Russia;RUS
Agordat;15.54903668;37.88666907;18728.5;Eritrea;ERI
Agra;27.17042035;78.01502071;1511027.5;India;IND
Agri;39.71983522;43.05131506;87854;Turkey;TUR
Agrinio;38.62176271;21.4077266;59379;Greece;GRC
Agua Prieta;31.32233746;-109.5630388;77264.5;Mexico;MEX
Aguascalientes;21.87945992;-102.2904135;763589.5;Mexico;MEX
Aguelhok;19.45487062;0.856371214;8540;Mali;MLI
Ahar;38.48290814;47.06290482;98993.5;Iran;IRN
Ahmedabad;23.03005292;72.58000362;4547355;India;IND
Ahmednagar;19.11042137;74.75000037;379450;India;IND
Ahuachapan;13.91900399;-89.84500155;34102;El Salvador;SLV
Ahvaz;31.27998863;48.72001298;918572.5;Iran;IRN
Aigua;-34.19999388;-54.75000208;2622;Uruguay;URY
Aiken;33.5494625;-81.72060388;36716.5;United States of America;USA
Aiquile;-18.18954995;-65.18001144;5844;Bolivia;BOL
Aix-en-Provence;43.51999086;5.449992634;145309;France;FRA
Aizawl;23.71039899;92.72001461;274176;India;IND
Ajaccio;41.92706484;8.728293822;46905;France;FRA
Ajdabiya;30.76999392;20.21999548;139095.5;Libya;LBY
Ajmer;26.44999921;74.63998124;553948;India;IND
Aketi;2.740464497;23.7799849;46881;Congo (Kinshasa);COD
Akhtubinsk;48.27871848;46.16869584;38179;Russia;RUS
Akita;39.70999086;140.0899914;300962.5;Japan;JPN
Akjoujt;19.74699906;-14.39099948;370;Mauritania;MRT
Akola;20.70998781;77.01001745;466179.5;India;IND
Akron;41.07039878;-81.51999597;451155;United States of America;USA
Aksu;41.15000633;80.25002641;309704.5;China;CHN
Aksum;14.13041526;38.72000321;44368;Ethiopia;ETH
Akure;7.250395934;5.199982054;420594;Nigeria;NGA
Akureyi;65.66657188;-18.10001693;14754;Iceland;ISL
